,uid,name,value
291,a57b8136-fd4b-4ae4-b45f-75e28a30fe9f,Mass Loss,
292,a67a4ecd-d6cc-4318-9896-ba8fa04301d1,Weighed Mass,
293,a67a4ecd-d6cc-4318-9896-ba8fa04301d1,Mass Loss,
294,a8e9b606-abed-4d64-bf45-70a50263be35,Weighed Mass,
295,a8e9b606-abed-4d64-bf45-70a50263be35,Mass Loss,
296,a9e1b94f-967e-4096-91e5-b6335df56736,"Elastic Modulus, GPa",
297,a9e1b94f-967e-4096-91e5-b6335df56736,"Yield Strength, MPa",
298,a9e1b94f-967e-4096-91e5-b6335df56736,"UTS, MPa",
299,a9e1b94f-967e-4096-91e5-b6335df56736,"Elongation, %",
300,a9e1b94f-967e-4096-91e5-b6335df56736,"Strain Hardening, MPa",
301,a9e1b94f-967e-4096-91e5-b6335df56736,dUTS_dY,
302,abf35264-289f-4b4a-b96b-2f9e8403cf8b,Weighed Mass,
303,abf35264-289f-4b4a-b96b-2f9e8403cf8b,Mass Loss,
304,aca074ae-3bd9-480b-b264-512c6952c436,Weighed Mass,
305,aca074ae-3bd9-480b-b264-512c6952c436,Mass Loss,
306,af9b1d49-4aae-4231-a83c-80a8a782d35b,Weighed Mass,
307,af9b1d49-4aae-4231-a83c-80a8a782d35b,Mass Loss,
308,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Elastic Modulus, GPa",
309,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Yield Strength, MPa",
310,afc225e2-3382-4dd1-a097-7baefa6b6d09,"UTS, MPa",
311,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Elongation, %",
312,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Strain Hardening, MPa",
313,afc225e2-3382-4dd1-a097-7baefa6b6d09,dUTS_dY,
314,b1601dbd-6db3-44ce-9fe9-fcfee3b9982a,Weighed Mass,
315,b1601dbd-6db3-44ce-9fe9-fcfee3b9982a,Mass Loss,
316,b294a6e3-989f-45e0-a9ca-310a98dd4aa3,Weighed Mass,
317,b294a6e3-989f-45e0-a9ca-310a98dd4aa3,Mass Loss,
318,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Elastic Modulus, GPa",
319,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Yield Strength, MPa",
320,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"UTS, MPa",
321,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Elongation, %",
322,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Strain Hardening, MPa",
323,b3c02bc1-bbfc-49dd-a937-1586b11a9561,dUTS_dY,
324,b48ebcdc-5e78-4250-9d87-cbd1b1db1e0d,Weighed Mass,
325,b48ebcdc-5e78-4250-9d87-cbd1b1db1e0d,Mass Loss,
326,bc2c2f2d-0e86-4aad-8053-fb3e6da3b191,Weighed Mass,
