,uid,name,type
299,df9cd909-0ba6-4614-bcf9-f19e6a90ce1f,"Elongation, %",nominal_real
300,df9cd909-0ba6-4614-bcf9-f19e6a90ce1f,"Strain Hardening, MPa",nominal_real
301,df9cd909-0ba6-4614-bcf9-f19e6a90ce1f,dUTS_dY,nominal_real
302,2fa8af00-58d7-4a16-8524-83dc36047e89,Weighed Mass,nominal_real
303,2fa8af00-58d7-4a16-8524-83dc36047e89,Mass Loss,nominal_real
304,70ebc0bb-8db9-4e3a-a723-f78b193810eb,Weighed Mass,nominal_real
305,70ebc0bb-8db9-4e3a-a723-f78b193810eb,Mass Loss,nominal_real
306,853a8ddf-1d0f-416b-95f3-90c059b347b3,Weighed Mass,nominal_real
307,853a8ddf-1d0f-416b-95f3-90c059b347b3,Mass Loss,nominal_real
308,ddbb60d9-8fd8-4f8f-bec5-0b5f57e99cf2,Weighed Mass,nominal_real
309,ddbb60d9-8fd8-4f8f-bec5-0b5f57e99cf2,Mass Loss,nominal_real
310,f8059d48-fa24-424a-ae45-7e1fbed2316e,Weighed Mass,nominal_real
311,f8059d48-fa24-424a-ae45-7e1fbed2316e,Mass Loss,nominal_real
312,39aadd9e-b5da-408d-8a17-f67e2983318a,Weighed Mass,nominal_real
313,39aadd9e-b5da-408d-8a17-f67e2983318a,Mass Loss,nominal_real
314,387cc4b2-aea0-4773-8cf6-2c9ce1e89c24,Weighed Mass,nominal_real
315,387cc4b2-aea0-4773-8cf6-2c9ce1e89c24,Mass Loss,nominal_real
316,74a073b6-59cc-4fc0-a2b5-437e048b55df,Weighed Mass,nominal_real
317,74a073b6-59cc-4fc0-a2b5-437e048b55df,Mass Loss,nominal_real
